setting,regime,detector,seed,n_train,n_val,n_test,n_real_test,n_synth_test,threshold,f1,precision,recall,auroc,avg_precision,real_det,synth_det,normal_fpr,fit_time_sec,note
controlled_500,all_origins,RF,2,300,100,100,25,25,0.41000000000000003,0.9607843137254902,0.9423076923076923,0.98,0.992,0.9916956405658024,1.0,0.96,0.06,0.18150091171264648,ok
controlled_500,all_origins,LR,2,300,100,100,25,25,0.49,0.9387755102040817,0.9583333333333334,0.92,0.9816,0.9807272608898921,1.0,0.84,0.04,0.04992198944091797,ok
controlled_500,all_origins,kNN,2,300,100,100,25,25,0.01,0.9090909090909091,0.8333333333333334,1.0,0.9454,0.921855724920241,1.0,1.0,0.2,0.04700493812561035,ok
controlled_500,all_origins,MLP,2,300,100,100,25,25,0.51,0.9,0.9,0.9,0.9551999999999999,0.9556640999400376,0.96,0.84,0.1,0.05958819389343262,ok
controlled_500,all_origins,XGB,2,300,100,100,25,25,0.52,0.9494949494949495,0.9591836734693877,0.94,0.9928000000000001,0.9933627373898528,1.0,0.88,0.04,0.36768007278442383,ok
controlled_500,all_origins,HGB,3,300,100,100,25,25,0.03,0.9142857142857143,0.8727272727272727,0.96,0.98,0.9856756488320048,1.0,0.92,0.14,0.9612278938293457,ok
controlled_500,all_origins,RF,3,300,100,100,25,25,0.45,0.9215686274509803,0.9038461538461539,0.94,0.977,0.9792568440342438,1.0,0.88,0.1,0.1736609935760498,ok
controlled_500,all_origins,LR,3,300,100,100,25,25,0.39,0.8543689320388349,0.8301886792452831,0.88,0.9192,0.9357424867170772,0.88,0.88,0.18,0.04880809783935547,ok
controlled_500,all_origins,kNN,3,300,100,100,25,25,0.21000000000000002,0.8076923076923077,0.7777777777777778,0.84,0.8755999999999999,0.8348497116918169,0.84,0.84,0.24,0.04885292053222656,ok
controlled_500,all_origins,MLP,3,300,100,100,25,25,0.33,0.8073394495412844,0.7457627118644068,0.88,0.9212,0.9382904213502195,0.88,0.88,0.3,0.06611490249633789,ok
controlled_500,all_origins,XGB,3,300,100,100,25,25,0.22,0.9411764705882353,0.9230769230769231,0.96,0.9783999999999999,0.9849730833925393,1.0,0.92,0.08,0.35609006881713867,ok
controlled_500,all_origins,HGB,4,300,100,100,25,25,0.01,0.96,0.96,0.96,0.9972,0.9972587808708389,1.0,0.92,0.04,0.7782950401306152,ok
controlled_500,all_origins,RF,4,300,100,100,25,25,0.47000000000000003,0.9387755102040817,0.9583333333333334,0.92,0.9924000000000001,0.9928745464261558,1.0,0.84,0.04,0.17157983779907227,ok
controlled_500,all_origins,LR,4,300,100,100,25,25,0.75,0.9484536082474226,0.9787234042553191,0.92,0.9856,0.9823144583604313,1.0,0.84,0.02,0.04813098907470703,ok
controlled_500,all_origins,kNN,4,300,100,100,25,25,0.41000000000000003,0.8936170212765957,0.9545454545454546,0.84,0.9571999999999999,0.95200999000999,0.96,0.72,0.04,0.055153846740722656,ok
controlled_500,all_origins,MLP,4,300,100,100,25,25,0.42000000000000004,0.9158878504672897,0.8596491228070176,0.98,0.9727999999999999,0.9729729802564855,1.0,0.96,0.16,0.061634063720703125,ok
controlled_500,all_origins,XGB,4,300,100,100,25,25,0.060000000000000005,0.9142857142857143,0.8727272727272727,0.96,0.9904000000000001,0.9916605096275799,1.0,0.92,0.14,0.3376741409301758,ok
controlled_500,all_origins,HGB,5,300,100,100,25,25,0.02,0.9411764705882353,0.9230769230769231,0.96,0.9772,0.9815056206060992,1.0,0.92,0.08,0.8022279739379883,ok
controlled_500,all_origins,RF,5,300,100,100,25,25,0.36000000000000004,0.9411764705882353,0.9230769230769231,0.96,0.9919999999999999,0.9934159391720643,1.0,0.92,0.08,0.2026350498199463,ok
controlled_500,all_origins,LR,5,300,100,100,25,25,0.39,0.9494949494949495,0.9591836734693877,0.94,0.9936,0.9940498092157107,1.0,0.88,0.04,0.04786181449890137,ok
controlled_500,all_origins,kNN,5,300,100,100,25,25,0.41000000000000003,0.9032258064516129,0.9767441860465116,0.84,0.9782,0.9685315073680225,1.0,0.68,0.02,0.053223371505737305,ok
controlled_500,all_origins,MLP,5,300,100,100,25,25,0.53,0.9306930693069307,0.9215686274509803,0.94,0.9740000000000001,0.9779572597411379,0.92,0.96,0.08,0.06168699264526367,ok
controlled_500,all_origins,XGB,5,300,100,100,25,25,0.19,0.9504950495049505,0.9411764705882353,0.96,0.9756,0.9830564507308441,1.0,0.92,0.06,0.3417351245880127,ok
controlled_500,all_origins,HGB,6,300,100,100,25,25,0.22,0.9504950495049505,0.9411764705882353,0.96,0.9824,0.9887344570644327,1.0,0.92,0.06,0.9425919055938721,ok
controlled_500,all_origins,RF,6,300,100,100,25,25,0.42000000000000004,0.912621359223301,0.8867924528301887,0.94,0.9668,0.9768419723683683,1.0,0.88,0.12,0.2147960662841797,ok
controlled_500,all_origins,LR,6,300,100,100,25,25,0.5700000000000001,0.912621359223301,0.8867924528301887,0.94,0.9479999999999998,0.9550715477456228,1.0,0.88,0.12,0.05124688148498535,ok
controlled_500,all_origins,kNN,6,300,100,100,25,25,0.41000000000000003,0.8260869565217391,0.9047619047619048,0.76,0.9301999999999999,0.9312385494738435,0.92,0.6,0.08,0.07177591323852539,ok
controlled_500,all_origins,MLP,6,300,100,100,25,25,0.41000000000000003,0.8108108108108109,0.7377049180327869,0.9,0.9256,0.9384658114991089,1.0,0.8,0.32,0.09309124946594238,ok
controlled_500,all_origins,XGB,6,300,100,100,25,25,0.62,0.94,0.94,0.94,0.9727999999999999,0.9831150793650795,1.0,0.88,0.06,0.40494704246520996,ok
controlled_500,all_origins,HGB,7,300,100,100,25,25,0.02,0.9306930693069307,0.9215686274509803,0.94,0.9868000000000001,0.987101653016763,1.0,0.88,0.08,1.025468111038208,ok
controlled_500,all_origins,RF,7,300,100,100,25,25,0.47000000000000003,0.9514563106796117,0.9245283018867925,0.98,0.994,0.9944943959015967,1.0,0.96,0.08,0.2376399040222168,ok
controlled_500,all_origins,LR,7,300,100,100,25,25,0.38,0.8737864077669902,0.8490566037735849,0.9,0.9271999999999999,0.9276010264047079,1.0,0.8,0.16,0.050650835037231445,ok
controlled_500,all_origins,kNN,7,300,100,100,25,25,0.21000000000000002,0.8653846153846154,0.8333333333333334,0.9,0.9413999999999999,0.9400219780219781,0.96,0.84,0.18,0.05874490737915039,ok
controlled_500,all_origins,MLP,7,300,100,100,25,25,0.45,0.8679245283018868,0.8214285714285714,0.92,0.9596,0.9607514380108861,1.0,0.84,0.2,0.0781559944152832,ok
controlled_500,all_origins,XGB,7,300,100,100,25,25,0.06999999999999999,0.9333333333333333,0.8909090909090909,0.98,0.99,0.9906434626010487,1.0,0.96,0.12,0.48388028144836426,ok
controlled_500,all_origins,HGB,8,300,100,100,25,25,0.11,0.9696969696969697,0.9795918367346939,0.96,0.996,0.9959540219028052,1.0,0.92,0.02,0.9086689949035645,ok
controlled_500,all_origins,RF,8,300,100,100,25,25,0.35000000000000003,0.9423076923076923,0.9074074074074074,0.98,0.9952000000000001,0.9954866300366301,1.0,0.96,0.1,0.18722891807556152,ok
controlled_500,all_origins,LR,8,300,100,100,25,25,0.53,0.8686868686868687,0.8775510204081632,0.86,0.9332,0.9383570847113532,0.96,0.76,0.12,0.05205821990966797,ok
controlled_500,all_origins,kNN,8,300,100,100,25,25,0.21000000000000002,0.8041237113402062,0.8297872340425532,0.78,0.888,0.8607065576924326,1.0,0.56,0.16,0.055728912353515625,ok
controlled_500,all_origins,MLP,8,300,100,100,25,25,0.53,0.7956989247311828,0.8604651162790697,0.74,0.9016,0.9036926183864142,0.72,0.76,0.12,0.06968975067138672,ok
controlled_500,all_origins,XGB,8,300,100,100,25,25,0.22,0.9504950495049505,0.9411764705882353,0.96,0.992,0.9923944517103898,1.0,0.92,0.06,0.371441125869751,ok
controlled_500,all_origins,HGB,9,300,100,100,25,25,0.17,0.9387755102040817,0.9583333333333334,0.92,0.9715999999999999,0.974376590474022,1.0,0.84,0.04,1.0116899013519287,ok
controlled_500,all_origins,RF,9,300,100,100,25,25,0.53,0.8958333333333334,0.9347826086956522,0.86,0.9677999999999999,0.9742030633727077,1.0,0.72,0.06,0.2164449691772461,ok
controlled_500,all_origins,LR,9,300,100,100,25,25,0.21000000000000002,0.8514851485148515,0.8431372549019608,0.86,0.9328,0.9461825663204401,1.0,0.72,0.16,0.0529789924621582,ok
controlled_500,all_origins,kNN,9,300,100,100,25,25,0.21000000000000002,0.8080808080808081,0.8163265306122449,0.8,0.8814,0.9027920478536242,0.96,0.64,0.18,0.053786277770996094,ok
controlled_500,all_origins,MLP,9,300,100,100,25,25,0.37,0.865979381443299,0.8936170212765957,0.84,0.9436,0.9556624608365374,0.96,0.72,0.1,0.07959771156311035,ok
controlled_500,all_origins,XGB,9,300,100,100,25,25,0.14,0.9423076923076923,0.9074074074074074,0.98,0.9780000000000001,0.9820588604213876,1.0,0.96,0.1,0.3299438953399658,ok
controlled_500,synthetic_only,HGB,0,225,75,100,25,25,0.11,0.6493506493506493,0.9259259259259259,0.5,0.8512,0.885187339656045,0.0,1.0,0.04,0.6325581073760986,ok
controlled_500,synthetic_only,RF,0,225,75,100,25,25,0.27,0.7311827956989247,0.7906976744186046,0.68,0.8748,0.8925053224226939,0.36,1.0,0.18,0.1981520652770996,ok
controlled_500,synthetic_only,LR,0,225,75,100,25,25,0.4,0.6753246753246753,0.9629629629629629,0.52,0.8648,0.8883482443765192,0.12,0.92,0.02,0.051878929138183594,ok
controlled_500,synthetic_only,kNN,0,225,75,100,25,25,0.01,0.7916666666666666,0.8260869565217391,0.76,0.818,0.7983695652173913,0.56,0.96,0.16,0.05357193946838379,ok
controlled_500,synthetic_only,MLP,0,225,75,100,25,25,0.36000000000000004,0.5263157894736842,0.7692307692307693,0.4,0.6288,0.7177378165692128,0.04,0.76,0.12,0.06746196746826172,ok
controlled_500,synthetic_only,XGB,0,225,75,100,25,25,0.24000000000000002,0.7294117647058823,0.8857142857142857,0.62,0.872,0.8946966835390449,0.24,1.0,0.08,0.2868788242340088,ok
controlled_500,synthetic_only,HGB,1,225,75,100,25,25,0.6,0.6301369863013698,1.0,0.46,0.7224,0.7937862104521243,0.04,0.88,0.0,0.6813712120056152,ok
controlled_500,synthetic_only,RF,1,225,75,100,25,25,0.5700000000000001,0.6111111111111112,1.0,0.44,0.782,0.8347515222067003,0.0,0.88,0.0,0.18635177612304688,ok
controlled_500,synthetic_only,LR,1,225,75,100,25,25,0.53,0.5945945945945946,0.9166666666666666,0.44,0.6556,0.7577844665070328,0.04,0.84,0.04,0.05140185356140137,ok
controlled_500,synthetic_only,kNN,1,225,75,100,25,25,0.41000000000000003,0.3050847457627119,1.0,0.18,0.7100000000000001,0.7044444444444445,0.04,0.32,0.0,0.052985191345214844,ok
controlled_500,synthetic_only,MLP,1,225,75,100,25,25,0.42000000000000004,0.7096774193548387,0.7674418604651163,0.66,0.7984,0.7877895704691281,0.6,0.72,0.2,0.060693979263305664,ok
controlled_500,synthetic_only,XGB,1,225,75,100,25,25,0.5,0.6216216216216216,0.9583333333333334,0.46,0.7256,0.7971199220848411,0.04,0.88,0.02,0.29656505584716797,ok
controlled_500,synthetic_only,HGB,2,225,75,100,25,25,0.16,0.6578947368421053,0.9615384615384616,0.5,0.8255999999999999,0.8671159500481911,0.08,0.92,0.02,0.7495131492614746,ok
controlled_500,synthetic_only,RF,2,225,75,100,25,25,0.38,0.631578947368421,0.9230769230769231,0.48,0.7836,0.8331027493242463,0.04,0.92,0.04,0.17814111709594727,ok
controlled_500,synthetic_only,LR,2,225,75,100,25,25,0.26,0.631578947368421,0.9230769230769231,0.48,0.7644,0.8215279339512229,0.0,0.96,0.04,0.04871010780334473,ok
controlled_500,synthetic_only,kNN,2,225,75,100,25,25,0.01,0.6190476190476191,0.7647058823529411,0.52,0.7038,0.7087581699346405,0.16,0.88,0.16,0.05027198791503906,ok
controlled_500,synthetic_only,MLP,2,225,75,100,25,25,0.53,0.4375,1.0,0.28,0.7512,0.8077526282670102,0.0,0.56,0.0,0.06715178489685059,ok
controlled_500,synthetic_only,XGB,2,225,75,100,25,25,0.23,0.6666666666666666,1.0,0.5,0.7724000000000001,0.8371051578211413,0.08,0.92,0.0,0.29212498664855957,ok
controlled_500,synthetic_only,HGB,3,225,75,100,25,25,0.02,0.6746987951807228,0.8484848484848485,0.56,0.7392,0.81922859755897,0.2,0.92,0.1,0.6453151702880859,ok
controlled_500,synthetic_only,RF,3,225,75,100,25,25,0.27,0.6818181818181818,0.7894736842105263,0.6,0.7744,0.8333162768551068,0.28,0.92,0.16,0.18970704078674316,ok
controlled_500,synthetic_only,LR,3,225,75,100,25,25,0.12,0.55,0.7333333333333333,0.44,0.5144000000000001,0.6853416392018414,0.0,0.88,0.16,0.05034017562866211,ok
controlled_500,synthetic_only,kNN,3,225,75,100,25,25,0.21000000000000002,0.5974025974025974,0.8518518518518519,0.46,0.7202000000000001,0.7362592592592593,0.08,0.84,0.08,0.05024409294128418,ok
controlled_500,synthetic_only,MLP,3,225,75,100,25,25,0.34,0.49382716049382713,0.6451612903225806,0.4,0.6584000000000001,0.7222060399230685,0.12,0.68,0.22,0.06043291091918945,ok
controlled_500,synthetic_only,XGB,3,225,75,100,25,25,0.21000000000000002,0.691358024691358,0.9032258064516129,0.56,0.7168,0.805324934246092,0.2,0.92,0.06,0.3696558475494385,ok
controlled_500,synthetic_only,HGB,4,225,75,100,25,25,0.01,0.6216216216216216,0.9583333333333334,0.46,0.6952,0.7778657146311803,0.0,0.92,0.02,0.6627001762390137,ok
controlled_500,synthetic_only,RF,4,225,75,100,25,25,0.34,0.65,0.8666666666666667,0.52,0.8140000000000001,0.8455321663278126,0.16,0.88,0.08,0.1754770278930664,ok
controlled_500,synthetic_only,LR,4,225,75,100,25,25,0.77,0.5633802816901409,0.9523809523809523,0.4,0.7008000000000001,0.7876804425741208,0.0,0.8,0.02,0.05090498924255371,ok
controlled_500,synthetic_only,kNN,4,225,75,100,25,25,0.21000000000000002,0.6233766233766234,0.8888888888888888,0.48,0.7844,0.7777777777777778,0.16,0.8,0.06,0.04981708526611328,ok
controlled_500,synthetic_only,MLP,4,225,75,100,25,25,0.4,0.5454545454545454,0.7777777777777778,0.42,0.7512,0.7685885735837352,0.08,0.76,0.12,0.06026101112365723,ok
controlled_500,synthetic_only,XGB,4,225,75,100,25,25,0.06999999999999999,0.6,0.8,0.48,0.6940000000000001,0.7835809669484606,0.04,0.92,0.12,0.29170918464660645,ok
controlled_500,synthetic_only,HGB,5,225,75,100,25,25,0.11,0.6027397260273972,0.9565217391304348,0.44,0.7024,0.7906095941703191,0.0,0.88,0.02,0.6036198139190674,ok
controlled_500,synthetic_only,RF,5,225,75,100,25,25,0.46,0.6111111111111112,1.0,0.44,0.8098000000000001,0.8601502793425342,0.0,0.88,0.0,0.1898479461669922,ok
controlled_500,synthetic_only,LR,5,225,75,100,25,25,0.33,0.6233766233766234,0.8888888888888888,0.48,0.6384000000000001,0.7534164686243642,0.04,0.92,0.06,0.051362037658691406,ok
controlled_500,synthetic_only,kNN,5,225,75,100,25,25,0.21000000000000002,0.5633802816901409,0.9523809523809523,0.4,0.7698000000000002,0.7648888888888887,0.04,0.76,0.02,0.05223894119262695,ok
controlled_500,synthetic_only,MLP,5,225,75,100,25,25,0.27,0.575,0.7666666666666667,0.46,0.6884,0.7657786140573944,0.04,0.88,0.14,0.06703686714172363,ok
controlled_500,synthetic_only,XGB,5,225,75,100,25,25,0.55,0.5714285714285714,1.0,0.4,0.678,0.7856316894940009,0.0,0.8,0.0,0.2935640811920166,ok
controlled_500,synthetic_only,HGB,6,225,75,100,25,25,0.06999999999999999,0.6666666666666666,0.9285714285714286,0.52,0.7220000000000001,0.8007870205682985,0.08,0.96,0.04,0.6524059772491455,ok
controlled_500,synthetic_only,RF,6,225,75,100,25,25,0.3,0.6744186046511628,0.8055555555555556,0.58,0.7346,0.797668157398047,0.24,0.92,0.14,0.17609238624572754,ok
controlled_500,synthetic_only,LR,6,225,75,100,25,25,0.16,0.6097560975609756,0.78125,0.5,0.638,0.7541065266302636,0.08,0.92,0.14,0.05048108100891113,ok
controlled_500,synthetic_only,kNN,6,225,75,100,25,25,0.41000000000000003,0.47761194029850745,0.9411764705882353,0.32,0.7122,0.7368810972664928,0.08,0.56,0.02,0.048048973083496094,ok
controlled_500,synthetic_only,MLP,6,225,75,100,25,25,0.39,0.6024096385542169,0.7575757575757576,0.5,0.6448,0.7237246017920245,0.2,0.8,0.16,0.06551504135131836,ok
controlled_500,synthetic_only,XGB,6,225,75,100,25,25,0.3,0.6153846153846154,0.8571428571428571,0.48,0.7096,0.793612345831362,0.04,0.92,0.08,0.300889253616333,ok
controlled_500,synthetic_only,HGB,7,225,75,100,25,25,0.01,0.6493506493506493,0.9259259259259259,0.5,0.7512,0.8206877786080586,0.08,0.92,0.04,0.5164549350738525,ok
controlled_500,synthetic_only,RF,7,225,75,100,25,25,0.29000000000000004,0.6823529411764706,0.8285714285714286,0.58,0.8292,0.8547062264318426,0.16,1.0,0.12,0.17624521255493164,ok
controlled_500,synthetic_only,LR,7,225,75,100,25,25,0.21000000000000002,0.5945945945945946,0.9166666666666666,0.44,0.6648000000000001,0.7565269588191047,0.0,0.88,0.04,0.05164003372192383,ok
controlled_500,synthetic_only,kNN,7,225,75,100,25,25,0.01,0.6590909090909091,0.7631578947368421,0.58,0.7378,0.7521052631578946,0.32,0.84,0.18,0.05054903030395508,ok
controlled_500,synthetic_only,MLP,7,225,75,100,25,25,0.24000000000000002,0.4810126582278481,0.6551724137931034,0.38,0.6632,0.7164658376792319,0.04,0.72,0.2,0.06410717964172363,ok
controlled_500,synthetic_only,XGB,7,225,75,100,25,25,0.14,0.5753424657534246,0.9130434782608695,0.42,0.7507999999999999,0.815033695610899,0.04,0.8,0.04,0.30992722511291504,ok
controlled_500,synthetic_only,HGB,8,225,75,100,25,25,0.03,0.6216216216216216,0.9583333333333334,0.46,0.6951999999999999,0.799900203636625,0.04,0.88,0.02,0.6484010219573975,ok
controlled_500,synthetic_only,RF,8,225,75,100,25,25,0.34,0.6329113924050633,0.8620689655172413,0.5,0.786,0.8368087832465921,0.08,0.92,0.08,0.1883528232574463,ok
controlled_500,synthetic_only,LR,8,225,75,100,25,25,0.53,0.5217391304347826,0.9473684210526315,0.36,0.6268,0.7308133488855171,0.0,0.72,0.02,0.054947853088378906,ok
controlled_500,synthetic_only,kNN,8,225,75,100,25,25,0.21000000000000002,0.417910447761194,0.8235294117647058,0.28,0.655,0.6579539641943735,0.04,0.52,0.06,0.05178689956665039,ok
controlled_500,synthetic_only,MLP,8,225,75,100,25,25,0.38,0.5609756097560976,0.71875,0.46,0.7164,0.7447257315969776,0.08,0.84,0.18,0.06472086906433105,ok
controlled_500,synthetic_only,XGB,8,225,75,100,25,25,0.36000000000000004,0.5833333333333334,0.9545454545454546,0.42,0.644,0.7636368095285575,0.0,0.84,0.02,0.3039541244506836,ok
controlled_500,synthetic_only,HGB,9,225,75,100,25,25,0.01,0.725,0.9666666666666667,0.58,0.7983999999999999,0.857241730004924,0.24,0.92,0.02,0.5799410343170166,ok
controlled_500,synthetic_only,RF,9,225,75,100,25,25,0.22,0.6966292134831461,0.7948717948717948,0.62,0.8104,0.8539078392424252,0.32,0.92,0.16,0.18805289268493652,ok
controlled_500,synthetic_only,LR,9,225,75,100,25,25,0.19,0.5675675675675675,0.875,0.42,0.708,0.777143011896571,0.0,0.84,0.06,0.04901623725891113,ok
controlled_500,synthetic_only,kNN,9,225,75,100,25,25,0.01,0.5609756097560976,0.71875,0.46,0.669,0.6954305555555556,0.28,0.64,0.18,0.05027604103088379,ok
controlled_500,synthetic_only,MLP,9,225,75,100,25,25,0.52,0.5555555555555556,0.9090909090909091,0.4,0.7836,0.8162969855901325,0.2,0.6,0.04,0.06662392616271973,ok
controlled_500,synthetic_only,XGB,9,225,75,100,25,25,0.12,0.7469879518072289,0.9393939393939394,0.62,0.7643999999999999,0.8374621848717287,0.28,0.96,0.04,0.26695823669433594,ok
controlled_500,real_only,HGB,0,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.2566490173339844,ok
controlled_500,real_only,RF,0,225,75,100,25,25,0.52,0.6486486486486487,1.0,0.48,0.8848,0.8933139531551876,0.96,0.0,0.0,0.19409394264221191,ok
controlled_500,real_only,LR,0,225,75,100,25,25,0.75,0.7341772151898734,1.0,0.58,0.7888,0.8584821304568889,1.0,0.16,0.0,0.05741524696350098,ok
controlled_500,real_only,kNN,0,225,75,100,25,25,0.41000000000000003,0.7317073170731707,0.9375,0.6,0.8499999999999999,0.8547549407114624,0.92,0.28,0.04,0.06267809867858887,ok
controlled_500,real_only,MLP,0,225,75,100,25,25,0.51,0.6582278481012658,0.896551724137931,0.52,0.6547999999999999,0.7690057072776635,0.84,0.2,0.06,0.06923437118530273,ok
controlled_500,real_only,XGB,0,225,75,100,25,25,0.01,0.6410256410256411,0.8928571428571429,0.5,0.735,0.75,1.0,0.0,0.06,0.18973612785339355,ok
controlled_500,real_only,HGB,1,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.2890191078186035,ok
controlled_500,real_only,RF,1,225,75,100,25,25,0.23,0.6753246753246753,0.9629629629629629,0.52,0.8778,0.8890228227981593,1.0,0.04,0.02,0.17833304405212402,ok
controlled_500,real_only,LR,1,225,75,100,25,25,0.3,0.7294117647058823,0.8857142857142857,0.62,0.7724,0.8488182236488495,0.92,0.32,0.08,0.053038835525512695,ok
controlled_500,real_only,kNN,1,225,75,100,25,25,0.41000000000000003,0.6506024096385542,0.8181818181818182,0.54,0.8236000000000001,0.8188714686909759,0.88,0.2,0.12,0.05045795440673828,ok
controlled_500,real_only,MLP,1,225,75,100,25,25,0.51,0.6428571428571429,0.7941176470588235,0.54,0.6784000000000001,0.7175254439342393,0.92,0.16,0.14,0.06485986709594727,ok
controlled_500,real_only,XGB,1,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.18093109130859375,ok
controlled_500,real_only,HGB,2,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.2542099952697754,ok
controlled_500,real_only,RF,2,225,75,100,25,25,0.26,0.6578947368421053,0.9615384615384616,0.5,0.89,0.9023059250281473,1.0,0.0,0.02,0.17662882804870605,ok
controlled_500,real_only,LR,2,225,75,100,25,25,0.47000000000000003,0.7088607594936709,0.9655172413793104,0.56,0.6784,0.8026721686056488,0.96,0.16,0.02,0.051712751388549805,ok
controlled_500,real_only,kNN,2,225,75,100,25,25,0.61,0.6027397260273972,0.9565217391304348,0.44,0.8392,0.8222992071534185,0.8,0.08,0.02,0.04850196838378906,ok
controlled_500,real_only,MLP,2,225,75,100,25,25,0.48000000000000004,0.6233766233766234,0.8888888888888888,0.48,0.6819999999999999,0.7501420829142005,0.84,0.12,0.06,0.06876301765441895,ok
controlled_500,real_only,XGB,2,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.18578696250915527,ok
controlled_500,real_only,HGB,3,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.24642610549926758,ok
controlled_500,real_only,RF,3,225,75,100,25,25,0.14,0.7228915662650602,0.9090909090909091,0.6,0.9052,0.9145849973752178,1.0,0.2,0.06,0.17079401016235352,ok
controlled_500,real_only,LR,3,225,75,100,25,25,0.22,0.7472527472527473,0.8292682926829268,0.68,0.8099999999999999,0.8703710942031666,1.0,0.36,0.14,0.051889896392822266,ok
controlled_500,real_only,kNN,3,225,75,100,25,25,0.21000000000000002,0.717391304347826,0.7857142857142857,0.66,0.8144,0.7729939320641408,0.84,0.48,0.18,0.05078387260437012,ok
controlled_500,real_only,MLP,3,225,75,100,25,25,0.41000000000000003,0.5925925925925926,0.7741935483870968,0.48,0.6496,0.7487915042913669,0.6,0.36,0.14,0.06525230407714844,ok
controlled_500,real_only,XGB,3,225,75,100,25,25,0.01,0.6578947368421053,0.9615384615384616,0.5,0.745,0.75,1.0,0.0,0.02,0.18339300155639648,ok
controlled_500,real_only,HGB,4,225,75,100,25,25,0.01,0.6666666666666666,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.27491211891174316,ok
controlled_500,real_only,RF,4,225,75,100,25,25,0.22,0.6666666666666666,1.0,0.5,0.9078,0.9128202926909939,1.0,0.0,0.0,0.17592191696166992,ok
controlled_500,real_only,LR,4,225,75,100,25,25,0.92,0.6486486486486487,1.0,0.48,0.7312000000000001,0.8265774383527051,0.96,0.0,0.0,0.051303863525390625,ok
controlled_500,real_only,kNN,4,225,75,100,25,25,0.61,0.64,0.96,0.48,0.925,0.9116332492150026,0.92,0.04,0.02,0.0521540641784668,ok
controlled_500,real_only,MLP,4,225,75,100,25,25,0.19,0.7115384615384616,0.6851851851851852,0.74,0.7756000000000001,0.8289561732283302,0.96,0.52,0.34,0.0641777515411377,ok
controlled_500,real_only,XGB,4,225,75,100,25,25,0.01,0.6578947368421053,0.9615384615384616,0.5,0.745,0.75,1.0,0.0,0.02,0.18782496452331543,ok
