fraction,n_injected_radio,seed,n_train,threshold,f1,auroc,real_recall_radio,synth_recall_non_radio,normal_fpr
0.25,52,0,896,0.21000000000000002,0.9458128078817734,0.9860630526720493,0.8857142857142857,0.9701492537313433,0.049019607843137254
0.25,52,1,896,0.05,0.9458128078817734,0.9883698577470204,0.8285714285714286,1.0,0.049019607843137254
0.25,52,2,896,0.01,0.9569377990430622,0.9867358708189158,0.9428571428571428,1.0,0.06862745098039216
0.25,52,3,896,0.03,0.9519230769230769,0.9878892733564014,0.9428571428571428,0.9850746268656716,0.06862745098039216
0.25,52,4,896,0.15000000000000002,0.93,0.9833717800845828,0.7714285714285715,0.9850746268656716,0.049019607843137254
0.25,52,5,896,0.06999999999999999,0.914572864321608,0.9834678969627066,0.7428571428571429,0.9701492537313433,0.058823529411764705
0.25,52,6,896,0.060000000000000005,0.9359605911330049,0.9836601307189542,0.8,1.0,0.058823529411764705
0.25,52,7,896,0.8,0.9183673469387755,0.9839484813533257,0.7142857142857143,0.9701492537313433,0.0392156862745098
0.25,52,8,896,0.01,0.9371980676328503,0.9876009227220299,0.8571428571428571,1.0,0.0784313725490196
0.25,52,9,896,0.01,0.9371980676328503,0.9808727412533641,0.8571428571428571,1.0,0.0784313725490196
0.5,103,0,942,0.08,0.9371980676328503,0.9897154940407535,0.9142857142857143,0.9701492537313433,0.0784313725490196
0.5,103,1,942,0.98,0.900523560209424,0.98760092272203,0.7142857142857143,0.9104477611940298,0.029411764705882353
0.5,103,2,942,0.17,0.9560975609756097,0.9850057670126874,0.9142857142857143,0.9850746268656716,0.049019607843137254
0.5,103,3,942,0.9400000000000001,0.9128205128205128,0.9873125720876585,0.8,0.9104477611940298,0.0392156862745098
0.5,103,4,942,0.27,0.9560975609756097,0.9878892733564013,0.9142857142857143,0.9850746268656716,0.049019607843137254
0.5,103,5,942,0.53,0.9353233830845771,0.9872164552095348,0.8285714285714286,0.9701492537313433,0.049019607843137254
0.5,103,6,942,0.01,0.9383886255924171,0.9854863514033064,0.9428571428571428,0.9850746268656716,0.09803921568627451
0.5,103,7,942,0.9500000000000001,0.9246231155778895,0.9851980007689349,0.8285714285714286,0.9402985074626866,0.049019607843137254
0.5,103,8,942,0.35000000000000003,0.9463414634146341,0.9876009227220299,0.9142857142857143,0.9701492537313433,0.058823529411764705
0.5,103,9,942,0.06999999999999999,0.9473684210526315,0.985678585159554,0.9428571428571428,0.9850746268656716,0.0784313725490196
0.75,154,0,988,0.41000000000000003,0.9565217391304348,0.9910611303344867,0.9428571428571428,0.9850746268656716,0.058823529411764705
0.75,154,1,988,0.05,0.9523809523809523,0.9870242214532872,0.9428571428571428,1.0,0.0784313725490196
0.75,154,2,988,0.15000000000000002,0.9468599033816425,0.9874086889657825,0.9428571428571428,0.9701492537313433,0.06862745098039216
0.75,154,3,988,0.01,0.9389671361502347,0.9883698577470205,0.9428571428571428,1.0,0.10784313725490197
0.75,154,4,988,0.48000000000000004,0.9509803921568627,0.9866397539407921,0.9428571428571428,0.9552238805970149,0.049019607843137254
0.75,154,5,988,0.060000000000000005,0.9514563106796117,0.9878892733564013,0.9428571428571428,0.9701492537313433,0.058823529411764705
0.75,154,6,988,0.54,0.941747572815534,0.9857747020376778,0.9142857142857143,0.9701492537313433,0.06862745098039216
0.75,154,7,988,0.6,0.9411764705882353,0.9863514033064206,0.9142857142857143,0.9552238805970149,0.058823529411764705
0.75,154,8,988,0.97,0.9238578680203046,0.9882737408688965,0.8857142857142857,0.8955223880597015,0.0392156862745098
0.75,154,9,988,0.14,0.9473684210526315,0.9888504421376394,0.9428571428571428,0.9850746268656716,0.0784313725490196
1.0,206,0,1035,0.15000000000000002,0.9468599033816425,0.9896193771626297,0.9428571428571428,0.9701492537313433,0.06862745098039216
1.0,206,1,1035,0.01,0.9433962264150944,0.9891387927720108,0.9428571428571428,1.0,0.09803921568627451
1.0,206,2,1035,0.03,0.9523809523809523,0.9893310265282583,0.9428571428571428,1.0,0.0784313725490196
1.0,206,3,1035,0.01,0.9488372093023256,0.9892349096501345,1.0,1.0,0.10784313725490197
1.0,206,4,1035,0.79,0.9509803921568627,0.9887543252595157,0.9428571428571428,0.9552238805970149,0.049019607843137254
1.0,206,5,1035,0.04,0.9428571428571428,0.9876970396001539,0.9428571428571428,0.9850746268656716,0.08823529411764706
1.0,206,6,1035,0.66,0.9509803921568627,0.9856785851595541,0.9428571428571428,0.9552238805970149,0.049019607843137254
1.0,206,7,1035,0.54,0.9463414634146341,0.985198000768935,0.9428571428571428,0.9552238805970149,0.058823529411764705
1.0,206,8,1035,0.01,0.9433962264150944,0.9898116109188774,0.9428571428571428,1.0,0.09803921568627451
1.0,206,9,1035,0.09999999999999999,0.9519230769230769,0.9883698577470204,0.9428571428571428,0.9850746268656716,0.06862745098039216
