subset,n_features,condition,n_added_real,seed,precision,recall,f1,auroc,avg_precision,normal_fpr,real_jamming_detection_rate,synthetic_detection_rate,threshold
no_rsrp,225,synth_only,0,5,0.9825581395348837,0.6842105263157895,0.8066825775656324,0.8847808678956515,0.7451062075354917,0.00048756704046806434,0.0,0.949438202247191,0.052964307647552555
no_rsrp,225,synth_only,0,6,0.9940828402366864,0.680161943319838,0.8076923076923077,0.896901613445533,0.7548557807666987,0.00016252234682268812,0.0,0.9438202247191011,0.04330495294761023
no_rsrp,225,synth_only,0,7,1.0,0.680161943319838,0.8096385542168675,0.8981389546325778,0.7501261840885997,0.0,0.0,0.9438202247191011,0.15992155933034494
no_rsrp,225,synth_only,0,8,1.0,0.6680161943319838,0.8009708737864077,0.9155880644114882,0.7582919342872598,0.0,0.0,0.9269662921348315,0.1321039631642165
no_rsrp,225,synth_only,0,9,0.9940119760479041,0.6720647773279352,0.8019323671497585,0.9037239330934318,0.7555476890521206,0.00016252234682268812,0.0,0.9325842696629213,0.22307487987101543
no_rsrp,225,f10_calibrated,18,0,0.9447004608294931,0.8299595141700404,0.8836206896551724,0.9855388010588298,0.927385019137999,0.0019502681618722574,0.463768115942029,0.9719101123595506,0.006890876881182188
no_rsrp,225,f10_calibrated,18,1,0.9783783783783784,0.7327935222672065,0.8379629629629629,0.964944521977035,0.8383496701531511,0.0006500893872907525,0.17391304347826086,0.949438202247191,0.05534552846221428
no_rsrp,225,f10_calibrated,18,2,0.9739583333333334,0.757085020242915,0.8519362186788155,0.977098166787407,0.8739980108227086,0.0008126117341134406,0.2608695652173913,0.949438202247191,0.03155003543853253
no_rsrp,225,f10_calibrated,18,3,0.9637305699481865,0.7530364372469636,0.8454545454545455,0.9600162127555697,0.8616029618146651,0.0011376564277588168,0.2318840579710145,0.9550561797752809,0.025512521493177873
no_rsrp,225,f10_calibrated,18,4,0.9065420560747663,0.7854251012145749,0.841648590021692,0.9771975225540881,0.8779256689644268,0.0032504469364537623,0.3333333333333333,0.9606741573033708,0.01228331784710694
no_rsrp,225,f10_calibrated,18,5,0.9066666666666666,0.8259109311740891,0.864406779661017,0.9827910548226698,0.9066680755689613,0.0034129692832764505,0.4782608695652174,0.9606741573033708,0.004732484911400759
no_rsrp,225,f10_calibrated,18,6,0.9502487562189055,0.7732793522267206,0.8526785714285714,0.971904031541179,0.8767065780495562,0.0016252234682268812,0.2898550724637681,0.9606741573033708,0.006904627760710785
no_rsrp,225,f10_calibrated,18,7,0.9625668449197861,0.728744939271255,0.8294930875576036,0.9664190668322158,0.8463268285720381,0.0011376564277588168,0.13043478260869565,0.9606741573033708,0.026947846944495712
no_rsrp,225,f10_calibrated,18,8,0.9572192513368984,0.7246963562753036,0.8248847926267281,0.9698596714943042,0.861772482588573,0.001300178774581505,0.11594202898550725,0.9606741573033708,0.014307293842277332
no_rsrp,225,f10_calibrated,18,9,0.9069767441860465,0.7894736842105263,0.8441558441558441,0.9816422126463442,0.891599629521107,0.0032504469364537623,0.3333333333333333,0.9662921348314607,0.007873372715959408
no_level,176,synth_only,0,0,0.9714285714285714,0.6882591093117408,0.8056872037914692,0.8905415284075244,0.7534452850005414,0.0008126117341134406,0.0,0.9550561797752809,0.029691419730096816
no_level,176,synth_only,0,1,0.9824561403508771,0.680161943319838,0.8038277511961722,0.8943663964321411,0.7455878046355986,0.00048756704046806434,0.0,0.9438202247191011,0.10626807045476791
no_level,176,synth_only,0,2,0.9712643678160919,0.6842105263157895,0.8028503562945368,0.8923463818380291,0.7502941703768911,0.0008126117341134406,0.0,0.949438202247191,0.05183141164137122
no_level,176,synth_only,0,3,0.9606741573033708,0.6923076923076923,0.8047058823529412,0.898828523132457,0.7534622959200519,0.0011376564277588168,0.0,0.9606741573033708,0.0564255396723558
no_level,176,synth_only,0,4,0.9709302325581395,0.6761133603238867,0.7971360381861575,0.8959909619151581,0.7502389582002345,0.0008126117341134406,0.0,0.9382022471910112,0.07437997905985543
no_level,176,synth_only,0,5,0.976878612716763,0.6842105263157895,0.8047619047619048,0.9090802616938778,0.7527711668906222,0.0006500893872907525,0.0,0.949438202247191,0.05445141052160608
no_level,176,synth_only,0,6,0.9606741573033708,0.6923076923076923,0.8047058823529412,0.8882306843506771,0.7530229490803736,0.0011376564277588168,0.014492753623188406,0.9550561797752809,0.027408996999654656
no_level,176,synth_only,0,7,0.9825581395348837,0.6842105263157895,0.8066825775656324,0.8810191664511766,0.7391362041250322,0.00048756704046806434,0.0,0.949438202247191,0.10991277235040388
no_level,176,synth_only,0,8,0.9553072625698324,0.6923076923076923,0.8028169014084507,0.892040418715468,0.7563760974727365,0.001300178774581505,0.014492753623188406,0.9550561797752809,0.027978994278638248
no_level,176,synth_only,0,9,0.900523560209424,0.6963562753036437,0.7853881278538812,0.8868219380164772,0.7506764411799652,0.003087924589631074,0.014492753623188406,0.9606741573033708,0.011857739304095031
no_level,176,f10_calibrated,18,0,0.9782608695652174,0.728744939271255,0.8352668213457076,0.9556498229032808,0.8464941479948795,0.0006500893872907525,0.14492753623188406,0.9550561797752809,0.0682401814370074
no_level,176,f10_calibrated,18,1,0.9653179190751445,0.6761133603238867,0.7952380952380952,0.9296909904059176,0.7876162389118101,0.0009751340809361287,0.0,0.9382022471910112,0.09788417995099748
no_level,176,f10_calibrated,18,2,0.9621621621621622,0.7206477732793523,0.8240740740740741,0.9691556273198092,0.8487292700737104,0.0011376564277588168,0.13043478260869565,0.949438202247191,0.03978365546015824
no_level,176,f10_calibrated,18,3,0.8910891089108911,0.728744939271255,0.8017817371937639,0.9416840868250964,0.8143441060068909,0.0035754916300991387,0.13043478260869565,0.9606741573033708,0.022701215462722267
no_level,176,f10_calibrated,18,4,0.9414893617021277,0.7165991902834008,0.8137931034482758,0.9478296686847074,0.8324584246344431,0.0017877458150495694,0.15942028985507245,0.9325842696629213,0.04062137474003452
no_level,176,f10_calibrated,18,5,0.9179487179487179,0.7246963562753036,0.8099547511312217,0.9548464229621045,0.8290910929624936,0.00260035754916301,0.15942028985507245,0.9438202247191011,0.04186374838309238
no_level,176,f10_calibrated,18,6,0.9459459459459459,0.708502024291498,0.8101851851851852,0.9426973840482014,0.8164260032138623,0.0016252234682268812,0.08695652173913043,0.949438202247191,0.05696010840210221
no_level,176,f10_calibrated,18,7,0.9940828402366864,0.680161943319838,0.8076923076923077,0.9418288435712542,0.8010212639601411,0.00016252234682268812,0.014492753623188406,0.9382022471910112,0.19737387290818917
no_level,176,f10_calibrated,18,8,0.9141414141414141,0.7327935222672065,0.8134831460674158,0.9518677239173019,0.8346911068070325,0.002762879895985698,0.14492753623188406,0.9606741573033708,0.02616184750861368
no_level,176,f10_calibrated,18,9,0.9523809523809523,0.728744939271255,0.8256880733944955,0.9688865113689974,0.8469189540949063,0.0014627011214041932,0.14492753623188406,0.9550561797752809,0.06792333413905892
