held_out_type,fraction,seed,n_inject,n_T_train_pool,holdout_recall,trained_recall_avg,normal_fpr,auroc,threshold
Jamming,0.1,3,6,56,0.3452914798206278,0.9842931937172775,0.021739130434782608,0.960249947490023,0.04
Jamming,0.1,4,6,56,0.2062780269058296,0.9738219895287958,0.0024154589371980675,0.9191754766739013,0.23
Jamming,0.1,5,6,56,0.053811659192825115,0.9528795811518325,0.0,0.9891421036663632,0.9500000000000001
Jamming,0.1,6,6,56,0.17937219730941703,0.9895287958115183,0.004830917874396135,0.8913393544773507,0.04
Jamming,0.1,7,6,56,0.26905829596412556,0.9947643979057592,0.024154589371980676,0.9377465051693155,0.060000000000000005
Jamming,0.1,8,6,56,0.7040358744394619,0.9738219895287958,0.021739130434782608,0.9819890779248057,0.01
Jamming,0.1,9,6,56,0.32286995515695066,0.9790575916230366,0.01932367149758454,0.9528577096314967,0.09
Jamming,0.25,0,14,56,0.9820627802690582,0.9947643979057592,0.04106280193236715,0.9946556512404023,0.01
Jamming,0.25,1,14,56,0.7623318385650224,0.9895287958115183,0.016908212560386472,0.9920651590468855,0.04
Jamming,0.25,2,14,56,0.273542600896861,0.9685863874345549,0.0,0.9885761628042661,0.98
Jamming,0.25,3,14,56,0.9147982062780269,0.9842931937172775,0.024154589371980676,0.9934479217718033,0.02
Jamming,0.25,4,14,56,0.905829596412556,0.9947643979057592,0.024154589371980676,0.9956883474526826,0.02
Jamming,0.25,5,14,56,0.4080717488789238,0.9581151832460733,0.0,0.9973103222945693,0.9600000000000001
Jamming,0.25,6,14,56,0.6816143497757847,0.9895287958115183,0.0024154589371980675,0.9912833438353287,0.04
Jamming,0.25,7,14,56,0.9327354260089686,0.9947643979057592,0.028985507246376812,0.9912133305328013,0.02
Jamming,0.25,8,14,56,0.9820627802690582,0.9738219895287958,0.024154589371980676,0.996861070270018,0.01
Jamming,0.25,9,14,56,0.7354260089686099,0.9790575916230366,0.016908212560386472,0.9935587761674718,0.37
Co-Channel Interference (Severe),0.0,0,0,23,1.0,0.9866071428571429,0.022222222222222223,0.9989216427311667,0.01
Co-Channel Interference (Severe),0.0,1,0,23,1.0,0.9776785714285714,0.0,0.9998891408415218,0.7000000000000001
Co-Channel Interference (Severe),0.0,2,0,23,1.0,0.9732142857142857,0.0,0.9998286722096246,0.9600000000000001
Co-Channel Interference (Severe),0.0,3,0,23,1.0,0.9955357142857143,0.025396825396825397,0.999344923154447,0.04
Co-Channel Interference (Severe),0.0,4,0,23,1.0,0.96875,0.009523809523809525,0.9988107835726884,0.09
Co-Channel Interference (Severe),0.0,5,0,23,1.0,0.9866071428571429,0.009523809523809525,0.9990627362055934,0.7100000000000001
Co-Channel Interference (Severe),0.0,6,0,23,1.0,0.9955357142857143,0.02857142857142857,0.9998589065255732,0.01
Co-Channel Interference (Severe),0.0,7,0,23,1.0,0.9776785714285714,0.0,0.9994759385235576,0.4
Co-Channel Interference (Severe),0.0,8,0,23,1.0,0.9910714285714286,0.006349206349206349,0.9996875787351978,0.27
Co-Channel Interference (Severe),0.0,9,0,23,1.0,1.0,0.006349206349206349,0.9998689846308895,0.26
Co-Channel Interference (Severe),0.05,0,1,23,1.0,0.9866071428571429,0.006349206349206349,0.9988510959939532,0.04
Co-Channel Interference (Severe),0.05,1,1,23,1.0,0.9955357142857143,0.025396825396825397,0.9997278911564627,0.02
Co-Channel Interference (Severe),0.05,2,1,23,1.0,0.9776785714285714,0.0,0.9998790627362056,0.87
Co-Channel Interference (Severe),0.05,3,1,23,1.0,0.9910714285714286,0.009523809523809525,0.999445704207609,0.15000000000000002
Co-Channel Interference (Severe),0.05,4,1,23,1.0,0.9776785714285714,0.009523809523809525,0.9990425799949609,0.06999999999999999
Co-Channel Interference (Severe),0.05,5,1,23,1.0,0.9910714285714286,0.01904761904761905,0.998851095993953,0.16
Co-Channel Interference (Severe),0.05,6,1,23,1.0,0.9955357142857143,0.015873015873015872,0.9998689846308894,0.03
Co-Channel Interference (Severe),0.05,7,1,23,1.0,0.9776785714285714,0.0,0.9994154698916603,0.32
Co-Channel Interference (Severe),0.05,8,1,23,1.0,0.9910714285714286,0.006349206349206349,0.9996371882086168,0.66
Co-Channel Interference (Severe),0.05,9,1,23,1.0,1.0,0.01904761904761905,0.9998790627362056,0.02
Co-Channel Interference (Severe),0.1,0,2,23,1.0,0.9866071428571429,0.0031746031746031746,0.9990325018896448,0.04
Co-Channel Interference (Severe),0.1,1,2,23,1.0,0.9955357142857143,0.022222222222222223,0.9998185941043084,0.04
Co-Channel Interference (Severe),0.1,2,2,23,1.0,0.9866071428571429,0.0,0.9997782816830436,0.72
Co-Channel Interference (Severe),0.1,3,2,23,1.0,0.9866071428571429,0.012698412698412698,0.999445704207609,0.09
Co-Channel Interference (Severe),0.1,4,2,23,1.0,0.9866071428571429,0.025396825396825397,0.9992642983119174,0.02
Co-Channel Interference (Severe),0.1,5,2,23,1.0,0.9866071428571429,0.009523809523809525,0.9990123456790123,0.46
Co-Channel Interference (Severe),0.1,6,2,23,1.0,0.9955357142857143,0.01904761904761905,0.9998085159989921,0.02
Co-Channel Interference (Severe),0.1,7,2,23,0.989010989010989,0.9732142857142857,0.0,0.999546485260771,0.9500000000000001
Co-Channel Interference (Severe),0.1,8,2,23,1.0,0.9910714285714286,0.006349206349206349,0.9996775006298816,0.55
Co-Channel Interference (Severe),0.1,9,2,23,1.0,1.0,0.006349206349206349,0.9998689846308895,0.19
Co-Channel Interference (Severe),0.25,0,6,23,1.0,0.9910714285714286,0.01904761904761905,0.9987100025195264,0.02
Co-Channel Interference (Severe),0.25,1,6,23,1.0,0.9866071428571429,0.006349206349206349,0.9997077349458302,0.39
Co-Channel Interference (Severe),0.25,2,6,23,1.0,0.9866071428571429,0.0,0.9998689846308894,0.61
Co-Channel Interference (Severe),0.25,3,6,23,1.0,0.9955357142857143,0.01904761904761905,0.9993146888384984,0.060000000000000005
Co-Channel Interference (Severe),0.25,4,6,23,1.0,0.9821428571428571,0.012698412698412698,0.9990425799949609,0.09
Co-Channel Interference (Severe),0.25,5,6,23,1.0,0.9910714285714286,0.009523809523809525,0.999344923154447,0.5800000000000001
Co-Channel Interference (Severe),0.25,6,6,23,1.0,0.9955357142857143,0.01904761904761905,0.9997581254724113,0.02
Co-Channel Interference (Severe),0.25,7,6,23,1.0,0.9776785714285714,0.0,0.9994860166288738,0.7100000000000001
Co-Channel Interference (Severe),0.25,8,6,23,1.0,0.9910714285714286,0.009523809523809525,0.9997178130511464,0.4
Co-Channel Interference (Severe),0.25,9,6,23,1.0,1.0,0.009523809523809525,0.9998891408415218,0.15000000000000002
Doppler Shift (Severe),0.0,0,0,17,0.9130434782608695,0.9521739130434783,0.013377926421404682,0.9943960358385253,0.8300000000000001
Doppler Shift (Severe),0.0,1,0,17,0.9855072463768116,0.991304347826087,0.010033444816053512,0.9997762888558294,0.060000000000000005
Doppler Shift (Severe),0.0,2,0,17,1.0,0.991304347826087,0.020066889632107024,0.9994519076967819,0.01
Doppler Shift (Severe),0.0,3,0,17,0.9855072463768116,0.9739130434782609,0.03678929765886288,0.9970358273397388,0.03
Doppler Shift (Severe),0.0,4,0,17,0.8840579710144928,0.9739130434782609,0.006688963210702341,0.9989150009507725,0.9400000000000001
Doppler Shift (Severe),0.0,5,0,17,0.927536231884058,0.9869565217391304,0.0,0.9996085054977014,0.78
Doppler Shift (Severe),0.0,6,0,17,0.9710144927536232,0.9826086956521739,0.0033444816053511705,0.9983780942047629,0.15000000000000002
Doppler Shift (Severe),0.0,7,0,17,0.9710144927536232,0.9869565217391304,0.006688963210702341,0.9990380420800662,0.29000000000000004
Doppler Shift (Severe),0.0,8,0,17,1.0,0.9869565217391304,0.010033444816053512,0.9984563931052226,0.02
Doppler Shift (Severe),0.0,9,0,17,0.9565217391304348,0.9869565217391304,0.006688963210702341,0.9995190210400331,0.54
Doppler Shift (Severe),0.05,0,1,17,0.9565217391304348,0.9695652173913043,0.016722408026755852,0.9952349526291653,0.11
Doppler Shift (Severe),0.05,1,1,17,0.9710144927536232,0.9826086956521739,0.0,0.999832216641872,0.49
Doppler Shift (Severe),0.05,2,1,17,0.9855072463768116,0.991304347826087,0.010033444816053512,0.9995861343832844,0.04
Doppler Shift (Severe),0.05,3,1,17,0.9710144927536232,0.9608695652173913,0.020066889632107024,0.9971588684690327,0.12
Doppler Shift (Severe),0.05,4,1,17,0.9130434782608695,0.9782608695652174,0.010033444816053512,0.9988031453786871,0.8400000000000001
Doppler Shift (Severe),0.05,5,1,17,0.9855072463768116,0.9956521739130435,0.013377926421404682,0.9997315466269953,0.03
Doppler Shift (Severe),0.05,6,1,17,0.9710144927536232,0.9826086956521739,0.0033444816053511705,0.9984116508763885,0.14
Doppler Shift (Severe),0.05,7,1,17,0.9565217391304348,0.9826086956521739,0.0033444816053511705,0.9991946398809857,0.31
Doppler Shift (Severe),0.05,8,1,17,1.0,0.9826086956521739,0.013377926421404682,0.9981767541750093,0.02
Doppler Shift (Severe),0.05,9,1,17,0.9710144927536232,0.9869565217391304,0.006688963210702341,0.9993959799107393,0.47000000000000003
Doppler Shift (Severe),0.1,0,2,17,0.9420289855072463,0.9478260869565217,0.010033444816053512,0.9945302625250276,0.73
Doppler Shift (Severe),0.1,1,2,17,0.9855072463768116,0.9956521739130435,0.006688963210702341,0.9998434021990805,0.13
Doppler Shift (Severe),0.1,2,2,17,1.0,0.991304347826087,0.013377926421404682,0.9996085054977014,0.09
Doppler Shift (Severe),0.1,3,2,17,0.9855072463768116,0.9739130434782609,0.03678929765886288,0.9976174763145826,0.02
Doppler Shift (Severe),0.1,4,2,17,0.9130434782608695,0.9826086956521739,0.010033444816053512,0.9990156709656492,0.86
Doppler Shift (Severe),0.1,5,2,17,1.0,0.9956521739130435,0.016722408026755852,0.999787474413038,0.02
Doppler Shift (Severe),0.1,6,2,17,0.9710144927536232,0.9826086956521739,0.0033444816053511705,0.9985235064484738,0.27
Doppler Shift (Severe),0.1,7,2,17,0.9855072463768116,0.9869565217391304,0.013377926421404682,0.9989821142940236,0.05
Doppler Shift (Severe),0.1,8,2,17,1.0,0.9869565217391304,0.010033444816053512,0.9976957752150423,0.03
Doppler Shift (Severe),0.1,9,2,17,0.9855072463768116,0.9869565217391304,0.006688963210702341,0.999496649925616,0.35000000000000003
Doppler Shift (Severe),0.25,0,4,17,0.9710144927536232,0.9695652173913043,0.016722408026755852,0.9949217570273263,0.11
Doppler Shift (Severe),0.25,1,4,17,0.9855072463768116,0.9869565217391304,0.0,0.9998210310846635,0.49
Doppler Shift (Severe),0.25,2,4,17,0.9855072463768116,0.991304347826087,0.010033444816053512,0.9996979899553696,0.05
Doppler Shift (Severe),0.25,3,4,17,0.9855072463768116,0.9695652173913043,0.020066889632107024,0.9977405174438765,0.08
Doppler Shift (Severe),0.25,4,4,17,0.8840579710144928,0.9739130434782609,0.006688963210702341,0.9989373720651895,0.9400000000000001
Doppler Shift (Severe),0.25,5,4,17,1.0,0.991304347826087,0.010033444816053512,0.9996756188409526,0.05
Doppler Shift (Severe),0.25,6,4,17,0.9710144927536232,0.9826086956521739,0.0033444816053511705,0.9990380420800662,0.28
Doppler Shift (Severe),0.25,7,4,17,0.9710144927536232,0.9826086956521739,0.010033444816053512,0.9992058254381941,0.17
Doppler Shift (Severe),0.25,8,4,17,1.0,0.9869565217391304,0.013377926421404682,0.9976734041006253,0.03
Doppler Shift (Severe),0.25,9,4,17,0.9710144927536232,0.9869565217391304,0.006688963210702341,0.9995078354828246,0.5800000000000001
