held_out_type,seed,n_train,n_val,n_test,n_T_test,n_other_test,n_norm_test,threshold,holdout_recall,trained_recall_avg,normal_fpr,f1,auroc
High Network Congestion (Gradual Buildup),7,1553,275,604,74,228,302,0.060000000000000005,1.0,0.9868421052631579,0.0033112582781456954,0.9933554817275747,0.9993969562738476
High Network Congestion (Gradual Buildup),8,1553,275,604,74,228,302,0.03,1.0,0.9780701754385965,0.016556291390728478,0.9834437086092715,0.999199596508925
High Network Congestion (Gradual Buildup),9,1553,275,604,74,228,302,0.12,0.972972972972973,0.9868421052631579,0.009933774834437087,0.9867109634551495,0.996962852506469
High Network Congestion (Sudden Spike),0,1615,285,550,38,237,275,0.22,0.6842105263157895,0.9957805907172996,0.01090909090909091,0.9703703703703703,0.9890380165289256
High Network Congestion (Sudden Spike),1,1615,285,550,38,237,275,0.01,0.8157894736842105,0.9957805907172996,0.03272727272727273,0.969147005444646,0.9914181818181818
High Network Congestion (Sudden Spike),2,1615,285,550,38,237,275,0.3,0.6578947368421053,0.9873417721518988,0.007272727272727273,0.9664179104477612,0.9929785123966941
High Network Congestion (Sudden Spike),3,1615,285,550,38,237,275,0.09,0.6052631578947368,0.9831223628691983,0.014545454545454545,0.9570093457943926,0.9912462809917355
High Network Congestion (Sudden Spike),4,1615,285,550,38,237,275,0.39,0.7105263157894737,0.9873417721518988,0.01818181818181818,0.9648798521256932,0.9919338842975206
High Network Congestion (Sudden Spike),5,1615,285,550,38,237,275,0.99,0.5263157894736842,0.9493670886075949,0.0,0.9423076923076923,0.9923702479338844
High Network Congestion (Sudden Spike),6,1615,285,550,38,237,275,0.060000000000000005,0.7105263157894737,0.9915611814345991,0.01090909090909091,0.9703703703703703,0.9917619834710744
High Network Congestion (Sudden Spike),7,1615,285,550,38,237,275,0.01,0.7105263157894737,0.9831223628691983,0.025454545454545455,0.959409594095941,0.9865520661157026
High Network Congestion (Sudden Spike),8,1615,285,550,38,237,275,0.8200000000000001,0.6842105263157895,0.9915611814345991,0.0,0.9738805970149254,0.9939173553719008
High Network Congestion (Sudden Spike),9,1615,285,550,38,237,275,0.6900000000000001,0.7105263157894737,0.9831223628691983,0.014545454545454545,0.9647495361781077,0.9942611570247933
Co-Channel Interference (Severe),0,1524,270,630,91,224,315,0.01,1.0,0.9866071428571429,0.022222222222222223,0.9842271293375394,0.9989216427311667
Co-Channel Interference (Severe),1,1524,270,630,91,224,315,0.7000000000000001,1.0,0.9776785714285714,0.0,0.992,0.9998891408415218
Co-Channel Interference (Severe),2,1524,270,630,91,224,315,0.9600000000000001,1.0,0.9732142857142857,0.0,0.9903846153846154,0.9998286722096246
Co-Channel Interference (Severe),3,1524,270,630,91,224,315,0.04,1.0,0.9955357142857143,0.025396825396825397,0.9858712715855573,0.999344923154447
Co-Channel Interference (Severe),4,1524,270,630,91,224,315,0.09,1.0,0.96875,0.009523809523809525,0.9840255591054313,0.9988107835726884
Co-Channel Interference (Severe),5,1524,270,630,91,224,315,0.7100000000000001,1.0,0.9866071428571429,0.009523809523809525,0.9904761904761905,0.9990627362055934
Co-Channel Interference (Severe),6,1524,270,630,91,224,315,0.01,1.0,0.9955357142857143,0.02857142857142857,0.9843260188087775,0.9998589065255732
Co-Channel Interference (Severe),7,1524,270,630,91,224,315,0.4,1.0,0.9776785714285714,0.0,0.992,0.9994759385235576
Co-Channel Interference (Severe),8,1524,270,630,91,224,315,0.27,1.0,0.9910714285714286,0.006349206349206349,0.9936507936507937,0.9996875787351978
Co-Channel Interference (Severe),9,1524,270,630,91,224,315,0.26,1.0,1.0,0.006349206349206349,0.9968354430379747,0.9998689846308895
Co-Channel Interference (Mild),0,1480,262,670,117,218,335,0.93,0.6495726495726496,0.9908256880733946,0.005970149253731343,0.9284578696343402,0.996239697037202
Co-Channel Interference (Mild),1,1480,262,670,117,218,335,0.060000000000000005,0.7863247863247863,0.981651376146789,0.026865671641791045,0.9415384615384615,0.9918467364669191
Co-Channel Interference (Mild),2,1480,262,670,117,218,335,0.77,0.6495726495726496,0.9770642201834863,0.0029850746268656717,0.9248,0.9950189351748719
Co-Channel Interference (Mild),3,1480,262,670,117,218,335,0.06999999999999999,0.8205128205128205,0.9724770642201835,0.011940298507462687,0.9520865533230294,0.9886388950768545
Co-Channel Interference (Mild),4,1480,262,670,117,218,335,0.02,0.8205128205128205,0.9770642201834863,0.01791044776119403,0.9507692307692308,0.9924704834038762
Co-Channel Interference (Mild),5,1480,262,670,117,218,335,0.35000000000000003,0.8034188034188035,0.9908256880733946,0.005970149253731343,0.9582689335394127,0.9952595232791267
Co-Channel Interference (Mild),6,1480,262,670,117,218,335,0.060000000000000005,0.8376068376068376,1.0,0.020895522388059702,0.9604863221884499,0.9925595901091557
Co-Channel Interference (Mild),7,1480,262,670,117,218,335,0.04,0.8974358974358975,0.9862385321100917,0.01791044776119403,0.9682299546142209,0.9886834484294943
Co-Channel Interference (Mild),8,1480,262,670,117,218,335,0.01,0.8376068376068376,0.9770642201834863,0.01791044776119403,0.9539877300613497,0.9884072176431276
Co-Channel Interference (Mild),9,1480,262,670,117,218,335,0.37,0.7692307692307693,1.0,0.011940298507462687,0.9520865533230294,0.9944130095789708
Faulty RF Filters (Temporal),0,1543,273,614,80,227,307,0.04,0.975,0.9691629955947136,0.009771986970684038,0.9802631578947368,0.9977718596483782
Faulty RF Filters (Temporal),1,1543,273,614,80,227,307,0.59,0.9375,0.9823788546255506,0.0,0.9851239669421488,0.9992891171259111
Faulty RF Filters (Temporal),2,1543,273,614,80,227,307,0.17,0.95,0.9955947136563876,0.009771986970684038,0.9869281045751634,0.9991405744358031
Faulty RF Filters (Temporal),3,1543,273,614,80,227,307,0.14,0.9625,0.986784140969163,0.009771986970684038,0.9852700490998363,0.9986206750204246
Faulty RF Filters (Temporal),4,1543,273,614,80,227,307,0.02,1.0,0.9911894273127754,0.026058631921824105,0.9838709677419355,0.9992254559730076
Faulty RF Filters (Temporal),5,1543,273,614,80,227,307,0.09999999999999999,0.9875,0.9911894273127754,0.006514657980456026,0.9918433931484503,0.9996286432747297
Faulty RF Filters (Temporal),6,1543,273,614,80,227,307,0.09,0.975,0.986784140969163,0.016286644951140065,0.9837133550488599,0.9986949463654786
Faulty RF Filters (Temporal),7,1543,273,614,80,227,307,0.12,0.9625,0.9911894273127754,0.0,0.9917898193760263,0.9997559655805367
Faulty RF Filters (Temporal),8,1543,273,614,80,227,307,0.03,0.95,0.986784140969163,0.013029315960912053,0.9819967266775778,0.9984403017538647
Faulty RF Filters (Temporal),9,1543,273,614,80,227,307,0.19,0.9875,1.0,0.006514657980456026,0.9951219512195122,0.9994482700081698
Doppler Shift (Severe),0,1562,276,598,69,230,299,0.8300000000000001,0.9130434782608695,0.9521739130434783,0.013377926421404682,0.9641025641025641,0.9943960358385253
Doppler Shift (Severe),1,1562,276,598,69,230,299,0.060000000000000005,0.9855072463768116,0.991304347826087,0.010033444816053512,0.9899665551839465,0.9997762888558294
Doppler Shift (Severe),2,1562,276,598,69,230,299,0.01,1.0,0.991304347826087,0.020066889632107024,0.9867109634551495,0.9994519076967819
Doppler Shift (Severe),3,1562,276,598,69,230,299,0.03,0.9855072463768116,0.9739130434782609,0.03678929765886288,0.9700996677740864,0.9970358273397388
Doppler Shift (Severe),4,1562,276,598,69,230,299,0.9400000000000001,0.8840579710144928,0.9739130434782609,0.006688963210702341,0.9726962457337884,0.9989150009507725
Doppler Shift (Severe),5,1562,276,598,69,230,299,0.78,0.927536231884058,0.9869565217391304,0.0,0.9864406779661017,0.9996085054977014
Doppler Shift (Severe),6,1562,276,598,69,230,299,0.15000000000000002,0.9710144927536232,0.9826086956521739,0.0033444816053511705,0.9881956155143339,0.9983780942047629
Doppler Shift (Severe),7,1562,276,598,69,230,299,0.29000000000000004,0.9710144927536232,0.9869565217391304,0.006688963210702341,0.9882352941176471,0.9990380420800662
Doppler Shift (Severe),8,1562,276,598,69,230,299,0.02,1.0,0.9869565217391304,0.010033444816053512,0.9899665551839465,0.9984563931052226
Doppler Shift (Severe),9,1562,276,598,69,230,299,0.54,0.9565217391304348,0.9869565217391304,0.006688963210702341,0.9865319865319865,0.9995190210400331
Resource Allocation Bugs,0,1598,282,566,48,235,283,0.11,0.9166666666666666,0.9957446808510638,0.007067137809187279,0.9875666074600356,0.9987638751888523
Resource Allocation Bugs,1,1598,282,566,48,235,283,0.33,0.9375,0.9702127659574468,0.0,0.9820143884892086,0.9973779170672628
Resource Allocation Bugs,2,1598,282,566,48,235,283,0.79,0.7916666666666666,0.9702127659574468,0.0035335689045936395,0.9672727272727273,0.9988138196256664
Resource Allocation Bugs,3,1598,282,566,48,235,283,0.09,0.9166666666666666,0.9829787234042553,0.0176678445229682,0.9769094138543517,0.9983268613667295
Resource Allocation Bugs,4,1598,282,566,48,235,283,0.11,0.9583333333333334,0.9914893617021276,0.014134275618374558,0.9858657243816255,0.9990135973729226
Resource Allocation Bugs,5,1598,282,566,48,235,283,0.03,0.8541666666666666,0.9872340425531915,0.007067137809187279,0.978494623655914,0.9988887362808875
Resource Allocation Bugs,6,1598,282,566,48,235,283,0.02,0.9583333333333334,0.9872340425531915,0.014134275618374558,0.984070796460177,0.9989886251545156
Resource Allocation Bugs,7,1598,282,566,48,235,283,0.19,0.875,0.9914893617021276,0.0,0.985663082437276,0.9995629861778771
Resource Allocation Bugs,8,1598,282,566,48,235,283,0.47000000000000003,0.8958333333333334,0.9957446808510638,0.007067137809187279,0.9857651245551602,0.9996503889423017
Resource Allocation Bugs,9,1598,282,566,48,235,283,0.13,0.9166666666666666,0.9702127659574468,0.024734982332155476,0.9679715302491103,0.9979897364182346
Antenna Failure,0,1533,271,624,86,226,312,0.01,1.0,0.9867256637168141,0.009615384615384616,0.9903846153846154,0.999065170940171
Antenna Failure,1,1533,271,624,86,226,312,0.02,1.0,0.995575221238938,0.028846153846153848,0.9841772151898734,0.9995788132807364
Antenna Failure,2,1533,271,624,86,226,312,0.02,1.0,0.9867256637168141,0.019230769230769232,0.9856459330143541,0.9991268080210388
Antenna Failure,3,1533,271,624,86,226,312,0.060000000000000005,1.0,0.9867256637168141,0.01282051282051282,0.9888,0.9974831525312295
Antenna Failure,4,1533,271,624,86,226,312,0.02,1.0,0.9911504424778761,0.038461538461538464,0.9779179810725552,0.9992398093359632
Antenna Failure,5,1533,271,624,86,226,312,0.01,1.0,0.9778761061946902,0.01282051282051282,0.985553772070626,0.9985515285996056
Antenna Failure,6,1533,271,624,86,226,312,0.66,1.0,0.9690265486725663,0.01282051282051282,0.9822866344605475,0.998469345825115
Antenna Failure,7,1533,271,624,86,226,312,0.08,0.9883720930232558,0.9823008849557522,0.003205128205128205,0.9903225806451613,0.9992192636423406
Antenna Failure,8,1533,271,624,86,226,312,0.05,1.0,0.9911504424778761,0.01282051282051282,0.9904153354632588,0.999702087442472
Antenna Failure,9,1533,271,624,86,226,312,0.02,1.0,0.9911504424778761,0.022435897435897436,0.985691573926868,0.9989213510848126
Faulty Handover Algorithm (Too Frequent),0,1592,282,570,51,234,285,0.63,0.7450980392156863,0.9871794871794872,0.014035087719298246,0.96415770609319,0.9929824561403509
Faulty Handover Algorithm (Too Frequent),1,1592,282,570,51,234,285,0.09,0.7843137254901961,0.9743589743589743,0.0,0.969258589511754,0.9945090797168359
Faulty Handover Algorithm (Too Frequent),2,1592,282,570,51,234,285,0.21000000000000002,0.7843137254901961,0.9829059829059829,0.014035087719298246,0.9660107334525939,0.9953216374269005
Faulty Handover Algorithm (Too Frequent),3,1592,282,570,51,234,285,0.59,0.7450980392156863,0.9829059829059829,0.007017543859649123,0.9657657657657658,0.993080947983995
Faulty Handover Algorithm (Too Frequent),4,1592,282,570,51,234,285,0.03,0.8431372549019608,0.9914529914529915,0.021052631578947368,0.9717314487632509,0.9956048014773776
Faulty Handover Algorithm (Too Frequent),5,1592,282,570,51,234,285,0.18000000000000002,0.7254901960784313,0.9871794871794872,0.0035087719298245615,0.9675090252707581,0.9960972606955987
Faulty Handover Algorithm (Too Frequent),6,1592,282,570,51,234,285,0.37,0.7843137254901961,1.0,0.0035087719298245615,0.9785714285714285,0.9979316712834718
Faulty Handover Algorithm (Too Frequent),7,1592,282,570,51,234,285,0.08,0.7647058823529411,0.9743589743589743,0.014035087719298246,0.960431654676259,0.9955801785164665
Faulty Handover Algorithm (Too Frequent),8,1592,282,570,51,234,285,0.08,0.7843137254901961,0.9786324786324786,0.010526315789473684,0.9658886894075404,0.9953585718682672
Faulty Handover Algorithm (Too Frequent),9,1592,282,570,51,234,285,0.01,0.803921568627451,0.9957264957264957,0.02456140350877193,0.9681978798586572,0.9938319482917821
Buffer Overflow (Gradual Buildup),0,1492,264,658,110,219,329,0.19,0.9363636363636364,0.9863013698630136,0.0121580547112462,0.9785276073619632,0.9971637364769358
Buffer Overflow (Gradual Buildup),1,1492,264,658,110,219,329,0.09999999999999999,0.9272727272727272,0.9817351598173516,0.0243161094224924,0.9694189602446484,0.9938747794273889
Buffer Overflow (Gradual Buildup),2,1492,264,658,110,219,329,0.060000000000000005,0.9636363636363636,0.9954337899543378,0.0182370820668693,0.9833080424886191,0.9987620217847211
Buffer Overflow (Gradual Buildup),3,1492,264,658,110,219,329,0.05,0.9545454545454546,0.9863013698630136,0.030395136778115502,0.9727272727272728,0.995574689812548
Buffer Overflow (Gradual Buildup),4,1492,264,658,110,219,329,0.06999999999999999,0.9636363636363636,0.9863013698630136,0.0182370820668693,0.9802130898021308,0.9969050544618029
Buffer Overflow (Gradual Buildup),5,1492,264,658,110,219,329,0.49,0.9545454545454546,0.9726027397260274,0.00303951367781155,0.9814814814814815,0.9956485989597288
Buffer Overflow (Gradual Buildup),6,1492,264,658,110,219,329,0.01,0.990909090909091,0.9863013698630136,0.030395136778115502,0.9789156626506024,0.9986326807771547
Buffer Overflow (Gradual Buildup),7,1492,264,658,110,219,329,0.24000000000000002,0.9454545454545454,0.9908675799086758,0.0121580547112462,0.981651376146789,0.9980876008166961
Buffer Overflow (Gradual Buildup),8,1492,264,658,110,219,329,0.060000000000000005,0.9636363636363636,0.9817351598173516,0.0121580547112462,0.981651376146789,0.9967664748108388
Buffer Overflow (Gradual Buildup),9,1492,264,658,110,219,329,0.25,0.9363636363636364,0.9817351598173516,0.0060790273556231,0.9799691833590138,0.9961752016333922
